Date,inflow,total release,evaporation,bank storage,storage,unregulated inflow,pool elevation,power release,area
7/1/2022,14016.2658,11772.6083,900.43012,4568500.58,6435107.23,16529.6732,3539.78,11772.6083,62934.7
7/2/2022,11213.5121,9388.515,900.745381,4568701.99,6437624.9,16276.4958,3539.82,9388.515,62949.66
7/3/2022,10491.4286,9351.665,900.903246,4568802.72,6438883.96,14684.3844,3539.84,9351.665,62957.15
7/4/2022,8128.65612,9388.3925,900.508935,4568550.93,6435736.59,11013.8233,3539.79,9388.3925,62938.44
7/5/2022,9250.58024,11880.375,899.799363,4568097.9,6430073.7,12963.3257,3539.7,11880.375,62904.77
7/6/2022,9886.3496,11830.0642,899.247188,4567745.71,6425671.34,13369.0584,3539.63,11830.0642,62878.57
7/7/2022,8925.91629,11895.6104,898.458801,4567242.84,6419385.45,12351.8584,3539.53,11895.6104,62841.16
7/8/2022,9246.31112,11872.3533,897.749229,4566790.51,6413731.35,11996.628,3539.44,11872.3533,62807.49
7/9/2022,11221.0748,9400.21167,898.064491,4566991.51,6416243.91,14043.0569,3539.48,9400.21167,62822.45
7/10/2022,8818.2252,9391.66958,897.828044,4566840.75,6414359.43,11107.2475,3539.45,9391.66958,62811.23
7/11/2022,6602.06545,11961.1646,896.487482,4565986.97,6403687.11,9141.99497,3539.28,11961.1646,62747.62
7/12/2022,7495.23885,11825,895.3836,4565284.5,6394906.24,8406.91149,3539.14,11825,62695.24
7/13/2022,5112.23332,11826,893.743194,4564231.88,6381748.55,5718.38047,3538.93,11826,62617.33
7/14/2022,8777.72631,11736.0221,892.976298,4563731.09,6375488.67,8905.76197,3538.83,11736.0221,62580.84
7/15/2022,3151.73906,11895.5363,890.905982,4562380.43,6358605.36,2904.24438,3538.56,11895.5363,62482.33
7/16/2022,6075.78408,9368.15667,890.062607,4561830.77,6351734.63,6804.35926,3538.45,9368.15667,62442.2
7/17/2022,5777.52383,9407.71083,889.142285,4561231.55,6344244.34,4625.72626,3538.33,9407.71083,62398.41
7/18/2022,4095.77185,11796.7954,887.302109,4560034.36,6329279.47,3033.69875,3538.09,11796.7954,62310.85
7/19/2022,4406.71808,11758.4638,885.547522,4558888.62,6314957.69,3328.76461,3537.86,11758.4638,62227.32
7/20/2022,5162.18833,11827.4167,883.9508,4557843.86,6301898.21,4114.47507,3537.65,11827.4167,62151.28
7/21/2022,6065.85907,11708.9504,882.582347,4556949.38,6290717.2,5397.92114,3537.47,11708.9504,62086.11
7/22/2022,4451.96202,11777.7375,880.833834,4555807.8,6276447.48,2898.50896,3537.24,11777.7375,62002.84
7/23/2022,4397.97558,9353.51333,879.617406,4555014.56,6266531.94,2724.73287,3537.08,9353.51333,61944.91
7/24/2022,2393.26972,9366.21083,877.947008,4553925.03,6252912.89,470.43267,3536.86,9366.21083,61865.35
7/25/2022,6820.05312,11765.1913,876.73315,4553133.53,6243019.12,5138.42166,3536.7,11765.1913,61807.53
7/26/2022,6405.47546,11682.4179,875.443279,4552293.37,6232517.17,4282.24648,3536.53,11682.4179,61746.09
7/27/2022,7108.29941,11708.3488,874.305199,4551552.75,6223259.42,4980.819,3536.38,11708.3488,61691.88
7/28/2022,8498.46435,11751.8904,873.470701,4551010.05,6216475.58,6627.81882,3536.27,11751.8904,61652.13
7/29/2022,9104.29113,11684.6946,872.787993,4550566.27,6210928.41,6997.69848,3536.18,11684.6946,61619.61
7/30/2022,10421.5036,9310.3275,872.93955,4550664.87,6212160.86,8763.14413,3536.2,9310.3275,61626.83
7/31/2022,9678.41119,9238.30417,872.93955,4550664.87,6212160.86,8172.48475,3536.2,9238.30417,61626.83
8/1/2022,11842.8159,12405.1,881.2354,4550516.98,6210312.24,10451.9049,3536.17,12405.1,61615.99
8/2/2022,8828.56927,12409.2804,880.334616,4549925.68,6202920.97,7597.00716,3536.05,12409.2804,61572.63
8/3/2022,7885.37195,12468.8163,879.204019,4549187.13,6193689.18,8047.3124,3535.9,12468.8163,61518.23
8/4/2022,6252.0078,12504.8175,877.693631,4548203.43,6181392.92,7576.97821,3535.7,12504.8175,61445.57
8/5/2022,6215.83315,12461.4438,876.183243,4547220.9,6169111.28,8151.7329,3535.5,12461.4438,61372.91
8/6/2022,5814.67897,9381.99708,875.276918,4546631.94,6161749.29,6254.95749,3535.38,9381.99708,61329.31
8/7/2022,5147.01946,9379.3675,874.219693,4545945.35,6153166.92,4590.81378,3535.24,9379.3675,61278.45
8/8/2022,5903.31294,12465.7825,872.633855,4544916.53,6140306.64,5670.53845,3535.03,12465.7825,61202.16
8/9/2022,4455.63131,12341.5092,870.730976,4543693.41,6125017.62,3642.89603,3534.78,12341.5092,61110.69
8/10/2022,3893.83845,12432.645,868.674195,4542374.51,6108531.37,3183.15709,3534.51,12432.645,61011.83
8/11/2022,6569.29288,12440.3,867.226787,4541447.68,6096946,5389.73274,3534.32,12440.3,60942.26
8/12/2022,7944.4316,12482.8883,866.083952,4540716.72,6087808.98,6017.95408,3534.17,12482.8883,60887.33
8/13/2022,5783.09294,9323.78417,865.169775,4540132.42,6080505.25,4916.14583,3534.05,9323.78417,60843.39
8/14/2022,5848.75298,9387.0825,864.259756,4539548.54,6073206.7,4053.78479,3533.93,9387.0825,60799.63
8/15/2022,11595.7334,12484.2046,863.957493,4539354,6070775.02,9865.44771,3533.89,12484.2046,60785.09
8/16/2022,6183.5891,12364.2246,862.445489,4538382.03,6058625.43,5008.97509,3533.69,12364.2246,60712.36
8/17/2022,7912.26489,12104.0433,861.387109,4537702.36,6050129.45,5691.01141,3533.55,12104.0433,60661.45
8/18/2022,8043.00405,12231.4229,860.328729,4537023.25,6041640.62,6365.35408,3533.41,12231.4229,60610.54
8/19/2022,11097.6106,12313.8817,859.950785,4536780.85,6038610.63,9249.67071,3533.36,12313.8817,60592.36
8/20/2022,8146.3343,9362.30583,859.572842,4536538.52,6035581.54,6020.00611,3533.31,9362.30583,60574.18
8/21/2022,11811.4584,9398.59875,860.026466,4536829.32,6039216.55,9980.10897,3533.37,9398.59875,60596
8/22/2022,9262.61524,12127.7738,859.27058,4536344.71,6033158.93,7166.14393,3533.27,12127.7738,60559.64
8/23/2022,7945.41854,12127.1563,858.2122,4535666.75,6024684.33,5982.09066,3533.13,12127.1563,60508.73
8/24/2022,5812.02279,12294.595,856.623129,4534650.85,6011985.61,4332.0146,3532.92,12294.595,60432.3
8/25/2022,7385.65108,12216.6963,855.410847,4533877.69,6002321.12,5216.58646,3532.76,12216.6963,60374
8/26/2022,4979.76236,12433.3613,853.592193,4532719.35,5987841.87,2972.38294,3532.52,12433.3613,60286.54
8/27/2022,6147.87534,9327.60208,852.758778,4532189,5981212.56,4546.49428,3532.41,9327.60208,60246.46
8/28/2022,5896.03235,9401.62708,851.849451,4531610.85,5973985.62,3614.54968,3532.29,9401.62708,60202.73
8/29/2022,6740.4936,12536.4258,850.409663,4530696.3,5962553.7,4940.086,3532.1,12536.4258,60133.49
8/30/2022,6236.83024,12680.4463,848.798425,4529686.7,5949933.77,4399.99939,3531.89,12680.4463,60056.1
8/31/2022,6294.75098,12403.5904,847.246472,4528726.41,5937930.11,4737.69325,3531.69,12403.5904,59981.64
9/1/2022,6010.07267,9515.25792,818.166461,4528150.81,5930735.11,4702.34322,3531.57,9515.25792,59936.96
9/2/2022,5935.14649,9437.84625,817.285955,4527575.64,5923545.49,3722.73059,3531.45,9437.84625,59892.28
9/3/2022,4745.01821,8245.23792,816.405449,4527000.9,5916361.24,2700.87202,3531.33,8245.23792,59847.6
9/4/2022,5322.99114,9472.01583,815.378338,4526330.91,5907986.38,2907.79618,3531.19,9472.01583,59795.48
9/5/2022,5315.1579,9460.75292,814.351009,4525661.5,5899618.77,2707.38597,3531.05,9460.75292,59743.35
9/6/2022,4683.01619,9800.26375,813.081093,4524849.43,5889467.85,2166.04069,3530.88,9800.26375,59679.02
9/7/2022,4037.73588,9149.66625,811.801584,4524038.23,5879327.88,1660.84127,3530.71,9149.66625,59614.25
9/8/2022,3997.42249,9428.29625,810.44659,4523180.27,5868603.41,496.60423,3530.53,9428.29625,59545.66
9/9/2022,4584.14802,9442.14375,809.223584,4522406.58,5858932.19,1066.42131,3530.3675,9442.14375,59483.75
9/10/2022,3635.10792,9297.15958,807.812306,4521514.85,5847785.59,788.44097,3530.18,9297.15958,59412.31
9/11/2022,4108.89302,8148.33375,806.777353,4520861.6,5839619.95,135.52145,3530.0425,8148.33375,59359.92
9/12/2022,4717.77217,9561.14125,805.575934,4520090.32,5829978.97,946.92122,3529.88,9561.14125,59299
9/13/2022,5935.03964,9402.41708,804.694339,4519521.27,5822865.88,1803.15079,3529.76,9402.41708,59254.27
9/14/2022,6363.56393,9506.00458,803.886263,4519000.02,5816350.3,2218.19721,3529.65,9506.00458,59213.27
9/15/2022,7592.67975,9444,803.371836,4518668.51,5812206.4,3501.23737,3529.58,9444,59187.17
9/16/2022,6591.5894,8120.00375,802.931147,4518384.48,5808655.94,2183.42738,3529.52,8120.00375,59164.81
9/17/2022,8807.2453,9368.88042,802.710584,4518242.5,5806881.22,4687.10476,3529.49,9368.88042,59153.62
9/18/2022,8573.55416,9457.16417,802.416719,4518053.24,5804515.45,4889.53555,3529.45,9457.16417,59138.71
9/19/2022,7725.55464,9574.7625,801.902509,4517722.14,5800376.79,3413.20051,3529.38,9574.7625,59112.62
9/20/2022,8582.47956,9143.78375,801.682165,4517580.29,5798603.63,5682.15132,3529.35,9143.78375,59101.44
9/21/2022,7957.91967,9162.65417,801.314779,4517343.93,5795649.12,5034.70311,3529.3,9162.65417,59082.8
9/22/2022,7567.14165,9093.17375,800.873872,4517060.4,5792104.94,4922.50926,3529.24,9093.17375,59060.43
9/23/2022,16673.7588,9189.63542,802.49024,4518100.55,5805106.84,13439.1126,3529.46,9189.63542,59142.44
9/24/2022,12135.1608,9153.46208,803.07797,4518479.14,5809839.28,9166.56156,3529.54,9153.46208,59172.26
9/25/2022,11751.3292,8123.22167,803.812743,4518952.66,5815758.2,9216.35376,3529.64,8123.22167,59209.54
9/26/2022,9605.57434,9200.31875,803.812743,4518952.66,5815758.2,7043.60434,3529.64,9200.31875,59209.54
9/27/2022,8627.94272,9189.86833,803.592398,4518810.57,5813982.13,7390.70982,3529.61,9189.86833,59198.36
9/28/2022,7324.35248,9175.24917,803.07797,4518479.14,5809839.28,6202.99742,3529.54,9175.24917,59172.26
9/29/2022,6530.78596,9347.08667,802.343416,4518005.93,5803924.1,4247.66129,3529.44,9347.08667,59134.99
9/30/2022,6116.43513,9252.87375,801.535123,4517485.74,5797421.72,4285.91972,3529.33,9252.87375,59093.98
10/1/2022,11330.7884,7840.76833,538.398223,4517958.62,5803332.79,9060.30074,3529.43,7840.76833,59131.26
10/2/2022,10657.8308,7809.86542,538.793767,4518337.15,5808064.33,8403.61718,3529.51,7809.86542,59161.08
10/3/2022,13372.5015,7943.89333,539.584853,4519094.77,5817534.61,11439.3196,3529.67,7943.89333,59220.72
10/4/2022,13643.5926,7886.53208,540.425419,4519900.59,5827607.33,11371.5694,3529.84,7886.53208,59284.09
10/5/2022,15008.8145,7952.52958,541.469774,4520897.21,5840065.17,13290.5504,3530.05,7952.52958,59362.78
10/6/2022,13435.966,7988.19375,542.280234,4521657.45,5849568.15,11504.0073,3530.21,7988.19375,59423.74
10/7/2022,10712.1014,7849.31833,542.685465,4522037.86,5854323.3,9394.81801,3530.29,7849.31833,59454.22
10/8/2022,9063.61594,7818.64542,542.837426,4522180.57,5856107.12,9002.46136,3530.32,7818.64542,59465.65
10/9/2022,10039.5458,7822.58208,543.141349,4522466.06,5859675.77,8982.21661,3530.38,7822.58208,59488.51
10/10/2022,8454.69488,7856.90708,543.192002,4522513.65,5860270.68,7405.80435,3530.39,7856.90708,59492.32
10/11/2022,7761.47069,7811.56542,543.141349,4522466.06,5859675.77,7196.45476,3530.38,7811.56542,59488.51
10/12/2022,8479.57113,7881.78333,543.192002,4522513.65,5860270.68,7018.32149,3530.39,7881.78333,59492.32
10/13/2022,6770.10507,7791.93667,542.989387,4522323.3,5857891.27,5241.25693,3530.35,7791.93667,59477.08
10/14/2022,7007.95503,7705.74417,542.837426,4522180.57,5856107.12,5584.41742,3530.32,7705.74417,59465.65
10/15/2022,7146.86284,7520.78,542.736118,4522085.43,5854917.87,5709.99169,3530.3,7520.78,59458.03
10/16/2022,6549.37786,7570.69333,542.533503,4521895.19,5852539.83,5392.45006,3530.26,7570.69333,59442.79
10/17/2022,6026.4615,7694.72542,542.229581,4521609.91,5848973.92,4195.71816,3530.2,7694.72542,59419.93
10/18/2022,6522.38194,7866.59458,541.976312,4521372.27,5846003.38,4535.84854,3530.15,7866.59458,59400.88
10/19/2022,6660.43278,8004.25583,541.723043,4521134.7,5843033.79,4727.78098,3530.1,8004.25583,59381.83
10/20/2022,6508.43825,7851.86083,541.469774,4520897.21,5840065.17,4579.65618,3530.05,7851.86083,59362.78
10/21/2022,6159.57203,7825.74708,541.167172,4520612.33,5836504.08,4206.58507,3529.99,7825.74708,59340.01
10/22/2022,7738.50184,7788.78375,541.117693,4520564.86,5835910.7,6160.77215,3529.98,7788.78375,59336.28
10/23/2022,6747.22195,7766.68833,540.919921,4520375,5833537.55,5266.1512,3529.94,7766.68833,59321.37
10/24/2022,7511.38385,7884.68208,540.820962,4520280.1,5832351.21,5757.43191,3529.92,7884.68208,59313.91
10/25/2022,9111.93294,7870.21833,540.969401,4520422.46,5834130.78,7485.93569,3529.95,7870.21833,59325.1
10/26/2022,7464.64691,7837.96375,540.870441,4520327.55,5832944.36,5972.23431,3529.93,7837.96375,59317.64
10/27/2022,7682.20831,7732.51458,540.820962,4520280.1,5832351.21,6043.60447,3529.92,7732.51458,59313.91
10/28/2022,8113.17307,7840.50917,540.820962,4520280.1,5832351.21,6067.14625,3529.92,7840.50917,59313.91
10/29/2022,8002.19557,7729.53167,540.820962,4520280.1,5832351.21,6493.89135,3529.92,7729.53167,59313.91
10/30/2022,7620.2206,7670.53542,540.771629,4520232.65,5831758.09,5980.87081,3529.91,7670.53542,59310.19
10/31/2022,8205.47941,7609.86167,540.820962,4520280.1,5832351.21,6838.35408,3529.92,7609.86167,59313.91
